# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:00
# parameter: seed = 24
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      28.549,     3,Finish(1),before,   1,   0,   0,   1,   0
      28.549,     3,Finish(1), after,   2,   0,   0,   0,   1
      59.419,     4,Finish(2),before,   1,   0,   0,   0,   1
      59.419,     4,Finish(2), after,   1,   0,   0,   0,   0
      74.995,     2,  Arrival,before,   0,   0,   0,   0,   0
      74.995,     2,  Arrival, after,   2,   0,   0,   1,   0
     102.997,     6,Finish(1),before,   1,   0,   0,   1,   0
     102.997,     6,Finish(1), after,   2,   0,   0,   0,   1
     232.892,     7,Finish(2),before,   1,   0,   0,   0,   1
     232.892,     7,Finish(2), after,   1,   0,   0,   0,   0
     392.336,     5,  Arrival,before,   0,   0,   0,   0,   0
     392.336,     5,  Arrival, after,   2,   0,   0,   1,   0
     416.197,     9,Finish(1),before,   1,   0,   0,   1,   0
     416.197,     9,Finish(1), after,   2,   0,   0,   0,   1
     433.872,    10,Finish(2),before,   1,   0,   0,   0,   1
     433.872,    10,Finish(2), after,   1,   0,   0,   0,   0
     564.710,     8,  Arrival,before,   0,   0,   0,   0,   0
     564.710,     8,  Arrival, after,   2,   0,   0,   1,   0
     585.640,    12,Finish(1),before,   1,   0,   0,   1,   0
     585.640,    12,Finish(1), after,   2,   0,   0,   0,   1
     609.030,    13,Finish(2),before,   1,   0,   0,   0,   1
     609.030,    13,Finish(2), after,   1,   0,   0,   0,   0
     827.767,    11,  Arrival,before,   0,   0,   0,   0,   0
     827.767,    11,  Arrival, after,   2,   0,   0,   1,   0
     847.696,    15,Finish(1),before,   1,   0,   0,   1,   0
     847.696,    15,Finish(1), after,   2,   0,   0,   0,   1
     855.964,    14,  Arrival,before,   1,   0,   0,   0,   1
     855.964,    14,  Arrival, after,   3,   0,   0,   1,   1
     863.517,    16,Finish(2),before,   2,   0,   0,   1,   1
     863.517,    16,Finish(2), after,   2,   0,   0,   1,   0
     889.968,    18,Finish(1),before,   1,   0,   0,   1,   0
